,mean_across_imputations,std_of_means,mean_within_imputation_std
age,32.91753488372093,0.016623011151099803,22.625558250713294
systolic_bp_baseline,120.26962790697674,0.6679351082370028,21.5979098252604
pulse_baseline,106.37362790697674,0.43293919449854157,27.061605537039178
temp_baseline,37.22780930232558,0.05862648153760828,1.0333556608652892
rr_baseline,27.025953488372096,0.2685063385973509,9.34771463007176
spo2_baseline,94.45920930232556,0.2530412998012061,7.598187415480766
gcs_baseline,14.08381395348837,0.12776225216134504,1.7140229582901114
admission_date,19733.978046511627,0.36035790153468716,528.1658709889678
